id,image,gt_count,pred_count,signed_error,abs_error
PartB_02190,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02190.jpg,93,193,100,100
PartB_00169,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00169.jpg,54,119,65,65
PartB_02137,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02137.jpg,62,104,42,42
PartB_00916,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00916.jpg,46,71,25,25
PartB_01913,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01913.jpg,58,37,-21,21
PartA_01041,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01041.jpg,60,80,20,20
PartB_00459,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00459.jpg,11,27,16,16
PartA_01043,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01043.jpg,66,82,16,16
PartA_00933,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00933.jpg,62,78,16,16
PartB_02157,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02157.jpg,31,44,13,13
PartA_00594,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00594.jpg,72,84,12,12
PartA_00974,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00974.jpg,63,74,11,11
PartA_00533,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00533.jpg,62,73,11,11
PartA_01036,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01036.jpg,75,86,11,11
PartA_00943,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00943.jpg,70,81,11,11
PartB_00989,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00989.jpg,76,66,-10,10
PartB_01727,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01727.jpg,29,39,10,10
PartA_00908,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00908.jpg,70,80,10,10
PartA_01442,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01442.jpg,69,78,9,9
PartB_01764,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01764.jpg,13,4,-9,9
PartA_00571,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00571.jpg,74,83,9,9
PartA_00716,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00716.jpg,66,75,9,9
PartB_02167,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02167.jpg,115,107,-8,8
PartA_00544,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00544.jpg,66,74,8,8
PartB_00926,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00926.jpg,42,49,7,7
PartB_02059,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02059.jpg,50,57,7,7
PartB_00180,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00180.jpg,39,46,7,7
PartB_00132,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00132.jpg,13,20,7,7
PartA_01550,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01550.jpg,69,76,7,7
PartA_01580,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01580.jpg,75,82,7,7
