epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.962,1.75524,0.99392,1.13207,0.86815,0.82172,0.8784,0.42671,1.68532,0.79663,1.08426,0.0675774,0.000831349,0.000831349
2,243.995,1.69474,0.82055,1.09966,0.88618,0.84551,0.89567,0.43979,1.67877,0.73491,1.07842,0.0350763,0.00166355,0.00166355
3,371.202,1.65807,0.78681,1.08422,0.89526,0.86199,0.90818,0.45117,1.62135,0.74018,1.07045,0.00257061,0.00249124,0.00249124
4,496.802,1.64919,0.77892,1.08295,0.90883,0.87182,0.92384,0.46271,1.60905,0.70155,1.05969,0.00248476,0.00248476,0.00248476
5,618.25,1.61751,0.74309,1.07998,0.91258,0.87761,0.93241,0.46832,1.61518,0.6894,1.06308,0.00247296,0.00247296,0.00247296
6,739.969,1.61868,0.73959,1.07397,0.91538,0.88427,0.93596,0.4814,1.59679,0.67921,1.05601,0.00245783,0.00245783,0.00245783
7,862.33,1.60666,0.71887,1.06518,0.91999,0.88126,0.93817,0.48115,1.5858,0.66852,1.05059,0.00243943,0.00243943,0.00243943
8,983.696,1.60713,0.71526,1.06245,0.92315,0.88842,0.93552,0.48705,1.58368,0.65985,1.04983,0.00241781,0.00241781,0.00241781
9,1104.78,1.58578,0.7049,1.06323,0.91633,0.89038,0.94078,0.48298,1.5826,0.66162,1.05053,0.00239301,0.00239301,0.00239301
10,1227.99,1.58369,0.69084,1.05519,0.92026,0.89595,0.94328,0.48663,1.57616,0.64362,1.04849,0.00236512,0.00236512,0.00236512
11,1351.54,1.58958,0.69657,1.06145,0.91919,0.89835,0.93947,0.47781,1.59148,0.64915,1.05158,0.00233421,0.00233421,0.00233421
12,1475.35,1.567,0.67867,1.05047,0.92242,0.89715,0.94254,0.4902,1.57018,0.64113,1.04173,0.00230035,0.00230035,0.00230035
