epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.349,1.45144,0.58892,1.02811,0.93782,0.9205,0.96047,0.51952,1.55083,0.59061,1.05831,0.0670786,0.00033254,0.00033254
2,313.156,1.44597,0.57456,1.022,0.93798,0.92474,0.96205,0.52248,1.54573,0.58214,1.05405,0.0340745,0.000661815,0.000661815
3,442.563,1.445,0.57274,1.02004,0.93612,0.9275,0.96256,0.52563,1.53687,0.57295,1.05055,0.00105436,0.000974999,0.000974999
4,584.584,1.44016,0.56854,1.02139,0.93911,0.92951,0.96411,0.52673,1.52843,0.5679,1.05094,0.000946048,0.000946048,0.000946048
5,725.623,1.43366,0.56673,1.02186,0.93462,0.92914,0.96228,0.52559,1.53154,0.57493,1.05045,0.000905463,0.000905463,0.000905463
6,870.633,1.43278,0.56712,1.01774,0.94105,0.92892,0.96438,0.52736,1.53497,0.56727,1.05159,0.000855018,0.000855018,0.000855018
7,1014.49,1.43763,0.56612,1.01438,0.93891,0.9287,0.96439,0.52816,1.52996,0.56871,1.05166,0.000795954,0.000795954,0.000795954
8,1159.18,1.44104,0.56434,1.01475,0.94245,0.93089,0.96321,0.52527,1.53257,0.56576,1.05362,0.000729725,0.000729725,0.000729725
9,1305.59,1.42101,0.55766,1.01448,0.93952,0.92936,0.96289,0.52533,1.53743,0.56635,1.05218,0.000657963,0.000657963,0.000657963
10,1476.72,1.42475,0.55522,1.01183,0.93918,0.92958,0.96526,0.5279,1.53426,0.56469,1.05074,0.000582435,0.000582435,0.000582435
11,1609.34,1.41848,0.55036,1.01014,0.94368,0.92936,0.96565,0.52944,1.53616,0.56038,1.04898,0.000505,0.000505,0.000505
12,1742.89,1.41386,0.54906,1.00656,0.9396,0.93242,0.96483,0.53283,1.52243,0.55518,1.04715,0.000427565,0.000427565,0.000427565
13,1877.72,1.40058,0.54239,1.00792,0.93998,0.93365,0.96474,0.53102,1.52748,0.5549,1.05293,0.000352037,0.000352037,0.000352037
14,2011.54,1.40289,0.54155,1.00433,0.94227,0.93376,0.96588,0.53197,1.53172,0.55602,1.05234,0.000280275,0.000280275,0.000280275
15,2146.8,1.40046,0.53929,1.00185,0.93849,0.93613,0.96509,0.53163,1.52965,0.55332,1.05157,0.000214046,0.000214046,0.000214046
16,2284.89,1.38142,0.53073,1.00059,0.9404,0.9337,0.9652,0.5318,1.52672,0.55291,1.05373,0.000154982,0.000154982,0.000154982
17,2419.66,1.38778,0.53301,1.00051,0.94106,0.93264,0.96591,0.53244,1.52633,0.5509,1.05136,0.000104537,0.000104537,0.000104537
18,2642.13,1.38426,0.53012,1.00276,0.93835,0.93561,0.96574,0.53398,1.52523,0.54894,1.0512,6.39518e-05,6.39518e-05,6.39518e-05
19,2778.01,1.38067,0.52874,1.00118,0.93892,0.93649,0.96684,0.53391,1.52758,0.54815,1.05184,3.4227e-05,3.4227e-05,3.4227e-05
20,2908.58,1.39007,0.53254,0.99828,0.94022,0.93427,0.96666,0.5346,1.52718,0.54883,1.05197,1.60943e-05,1.60943e-05,1.60943e-05
