id,image,gt_count,pred_count,signed_error,abs_error
PartB_02190,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02190.jpg,93,171,78,78
PartB_00169,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00169.jpg,54,100,46,46
PartB_02137,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02137.jpg,62,93,31,31
PartB_01913,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01913.jpg,58,35,-23,23
PartB_00989,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00989.jpg,76,60,-16,16
PartA_01041,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01041.jpg,60,76,16,16
PartB_02167,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02167.jpg,115,101,-14,14
PartA_01043,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01043.jpg,66,79,13,13
PartA_00933,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00933.jpg,62,75,13,13
PartB_02401,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02401.jpg,78,65,-13,13
PartB_02157,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02157.jpg,31,43,12,12
PartB_00916,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00916.jpg,46,57,11,11
PartB_00459,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00459.jpg,11,22,11,11
PartA_00594,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00594.jpg,72,82,10,10
PartB_02089,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02089.jpg,87,77,-10,10
PartA_00533,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00533.jpg,62,72,10,10
PartA_00943,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00943.jpg,70,80,10,10
PartA_00974,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00974.jpg,63,72,9,9
PartA_01036,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01036.jpg,75,84,9,9
PartB_01764,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01764.jpg,13,4,-9,9
PartA_00908,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00908.jpg,70,78,8,8
PartA_00571,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00571.jpg,74,82,8,8
PartA_01905,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01905.jpg,74,67,-7,7
PartB_00943,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00943.jpg,16,9,-7,7
PartA_00544,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00544.jpg,66,73,7,7
PartB_00132,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00132.jpg,13,20,7,7
PartA_00045,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00045.jpg,66,59,-7,7
PartA_00353,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00353.jpg,85,78,-7,7
PartB_01727,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01727.jpg,29,36,7,7
PartA_00744,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00744.jpg,73,79,6,6
