epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.39,1.46638,0.60025,1.04938,0.93642,0.931,0.96157,0.51086,1.58692,0.59663,1.09935,0.0673723,0.000665872,0.000665872
2,292.708,1.4637,0.59227,1.04745,0.93593,0.92947,0.96224,0.52327,1.55509,0.58272,1.08301,0.0346616,0.00128856,0.00128856
3,427.991,1.47889,0.59573,1.05424,0.93552,0.9298,0.96088,0.51527,1.55433,0.59021,1.08147,0.00190699,0.00186726,0.00186726
4,565.824,1.48385,0.59833,1.05314,0.93179,0.93045,0.96312,0.52014,1.5484,0.58162,1.0824,0.001802,0.001802,0.001802
5,701.607,1.47396,0.59587,1.04969,0.93686,0.93476,0.96139,0.51718,1.55108,0.58022,1.08426,0.001736,0.001736,0.001736
6,837.197,1.46412,0.58963,1.04768,0.9356,0.93329,0.96368,0.52127,1.54664,0.58156,1.07865,0.00167,0.00167,0.00167
7,972.423,1.47486,0.59407,1.05184,0.93797,0.93045,0.96484,0.52506,1.54243,0.57851,1.07794,0.001604,0.001604,0.001604
8,1108.64,1.46617,0.58711,1.0485,0.93306,0.93111,0.96305,0.52005,1.54503,0.5858,1.09,0.001538,0.001538,0.001538
9,1249.37,1.46378,0.5851,1.04901,0.93747,0.92815,0.96324,0.52565,1.54252,0.57779,1.08096,0.001472,0.001472,0.001472
10,1385.84,1.46076,0.58241,1.04318,0.93435,0.93081,0.96117,0.5212,1.55388,0.57981,1.08017,0.001406,0.001406,0.001406
11,1523.46,1.4498,0.57694,1.03905,0.94184,0.92649,0.96318,0.52469,1.54727,0.57233,1.0801,0.00134,0.00134,0.00134
12,1662.32,1.45027,0.57492,1.04282,0.93768,0.931,0.96339,0.52689,1.54688,0.5699,1.07889,0.001274,0.001274,0.001274
13,1806.54,1.44944,0.57153,1.04252,0.93668,0.93032,0.96438,0.52516,1.54284,0.57075,1.07712,0.001208,0.001208,0.001208
14,1951.56,1.44839,0.57204,1.04031,0.9378,0.9268,0.96237,0.52499,1.55006,0.57456,1.07795,0.001142,0.001142,0.001142
15,2092.74,1.43783,0.56735,1.03979,0.93062,0.93871,0.96287,0.52388,1.54742,0.57286,1.0825,0.001076,0.001076,0.001076
16,2231.07,1.43285,0.56341,1.04071,0.93379,0.93209,0.9618,0.52172,1.55129,0.56735,1.08,0.00101,0.00101,0.00101
17,2369.29,1.42747,0.56393,1.03474,0.93501,0.93886,0.96438,0.52527,1.54746,0.56546,1.08622,0.000944,0.000944,0.000944
18,2508.89,1.42804,0.56057,1.03243,0.93985,0.92838,0.96445,0.5237,1.55103,0.56441,1.08366,0.000878,0.000878,0.000878
19,2646.4,1.41876,0.55732,1.02603,0.94142,0.93384,0.96511,0.52712,1.54328,0.56231,1.07869,0.000812,0.000812,0.000812
20,2784.28,1.41681,0.55304,1.02875,0.93682,0.9357,0.96529,0.52773,1.54708,0.56025,1.08454,0.000746,0.000746,0.000746
21,2920.62,1.4173,0.55245,1.02843,0.93525,0.93669,0.96578,0.52911,1.54006,0.56343,1.07828,0.00068,0.00068,0.00068
22,3056.89,1.40388,0.54525,1.02265,0.93667,0.93962,0.9663,0.53011,1.54183,0.55678,1.07891,0.000614,0.000614,0.000614
23,3193.02,1.40981,0.54827,1.02716,0.93506,0.93263,0.96438,0.52656,1.55492,0.55804,1.08537,0.000548,0.000548,0.000548
24,3329.97,1.39783,0.54048,1.0241,0.94119,0.93777,0.9669,0.52968,1.54815,0.55729,1.08655,0.000482,0.000482,0.000482
25,3467.29,1.39717,0.53805,1.02123,0.94172,0.93744,0.96703,0.53228,1.54809,0.55521,1.08271,0.000416,0.000416,0.000416
26,3607.77,1.393,0.52288,1.03825,0.93859,0.93787,0.96541,0.53055,1.55019,0.55869,1.08569,0.00035,0.00035,0.00035
27,3740.43,1.37768,0.51304,1.03905,0.93832,0.93613,0.96562,0.53076,1.54735,0.55988,1.08308,0.000284,0.000284,0.000284
28,3874.46,1.37834,0.51357,1.03423,0.93738,0.93822,0.96767,0.52971,1.54829,0.5553,1.08628,0.000218,0.000218,0.000218
29,4008.34,1.37205,0.51183,1.03012,0.93387,0.93875,0.96596,0.53144,1.55388,0.55589,1.08648,0.000152,0.000152,0.000152
30,4144.41,1.36088,0.50505,1.02932,0.93586,0.93839,0.96543,0.53139,1.55299,0.55252,1.0846,8.6e-05,8.6e-05,8.6e-05
